croissants_long,croissants_short,pnl
-200,110,265201
-200,130,268894
-200,150,273628
-200,170,270307
-200,190,270789
-180,110,265201
-180,130,268894
-180,150,275878
-180,170,270082
-180,190,270539
-160,110,264451
-160,130,268144
-160,150,275128
-160,170,269332
-160,190,269789
-140,110,263619
-140,130,267312
-140,150,274296
-140,170,268500
-140,190,268957
-120,110,257701
-120,130,262036
-120,150,270128
-120,170,263582
-120,190,264539
-100,110,259951
-100,130,264286
-100,150,272378
-100,170,265832
-100,190,266789
-80,110,259091
-80,130,263426
-80,150,271518
-80,170,264972
-80,190,265929
-60,110,266266
-60,130,272170
-60,150,271129
-60,170,264583
-60,190,265540
-40,110,265951
-40,130,271855
-40,150,270469
-40,170,263923
-40,190,264880
-20,110,270400
-20,130,275155
-20,150,276405
-20,170,0
-20,190,269936
0,110,276981
0,130,284986
0,150,287619
0,170,280896
0,190,281096
20,110,278473
20,130,285978
20,150,288018
20,170,281295
20,190,281495
