djembes_long,djembes_short,pnl
-150,210,267775
-150,230,271966
-150,250,274635
-150,270,274635
-150,290,274635
-150,310,274635
-130,210,268261
-130,230,272452
-130,250,274757
-130,270,274757
-130,290,274757
-130,310,274757
-110,210,264783
-110,230,268764
-110,250,270198
-110,270,270198
-110,290,270198
-110,310,270198
-90,210,268619
-90,230,272600
-90,250,272120
-90,270,272120
-90,290,272120
-90,310,272120
-70,210,268557
-70,230,272538
-70,250,272178
-70,270,272178
-70,290,272178
-70,310,272178
-50,210,266697
-50,230,270678
-50,250,271338
-50,270,271338
-50,290,271338
-50,310,271338
-30,210,266393
-30,230,270374
-30,250,272118
-30,270,272118
-30,290,272118
-30,310,272118
-10,210,264777
-10,230,268758
-10,250,270318
-10,270,270318
-10,290,270318
-10,310,270318
10,210,266519
10,230,270500
10,250,270318
10,270,270318
10,290,270318
10,310,270318
