pb1_long,pb1_short,pnl
-200,110,659018
-200,130,640072
-200,150,647974
-200,170,645844
-200,190,648074
-180,110,671882
-180,130,653280
-180,150,665048
-180,170,662148
-180,190,663872
-160,110,667556
-160,130,650634
-160,150,662402
-160,170,659504
-160,190,661226
-140,110,661872
-140,130,647200
-140,150,658968
-140,170,656070
-140,190,657792
-120,110,658026
-120,130,643638
-120,150,655406
-120,170,652508
-120,190,654230
-100,110,650984
-100,130,639546
-100,150,651314
-100,170,648416
-100,190,650138
-80,110,648782
-80,130,638224
-80,150,649992
-80,170,647094
-80,190,648816
-60,110,723782
-60,130,692964
-60,150,667218
-60,170,659756
-60,190,677940
-40,110,712626
-40,130,684502
-40,150,662242
-40,170,654780
-40,190,672964
-20,110,705860
-20,130,680150
-20,150,656294
-20,170,648830
-20,190,667014
0,110,690436
0,130,670242
0,150,647052
0,170,639588
0,190,657772
