upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-930208
0.5,0,0.9,0.3,-930208
0.5,0,0.9,0.4,-930208
0.5,0,0.9,0.5,-930208
0.5,0,0.9,0.6,-930208
0.5,0,0.9,0.7,-930208
0.5,0,0.9,0.8,-930208
0.5,0,1.1,0.2,-868058
0.5,0,1.1,0.3,-868058
0.5,0,1.1,0.4,-868058
0.5,0,1.1,0.5,-868058
0.5,0,1.1,0.6,-868058
0.5,0,1.1,0.7,-868058
0.5,0,1.1,0.8,-868058
0.5,0,1.3,0.2,-1450164
0.5,0,1.3,0.3,-1450164
0.5,0,1.3,0.4,-1450164
0.5,0,1.3,0.5,-1450164
0.5,0,1.3,0.6,-1450164
0.5,0,1.3,0.7,-1450164
0.5,0,1.3,0.8,-1450164
0.5,0,1.5,0.2,-2032138
0.5,0,1.5,0.3,-2032138
0.5,0,1.5,0.4,-2032138
0.5,0,1.5,0.5,-2032138
0.5,0,1.5,0.6,-2032138
0.5,0,1.5,0.7,-2032138
0.5,0,1.5,0.8,-2032138
0.5,0,1.9,0.2,-3196266
0.5,0,1.9,0.3,-3196266
0.5,0,1.9,0.4,-3196266
0.5,0,1.9,0.5,-3196266
0.5,0,1.9,0.6,-3196266
0.5,0,1.9,0.7,-3196266
0.5,0,1.9,0.8,-3196266
0.5,0,2.5,0.2,-4942386
0.5,0,2.5,0.3,-4942386
0.5,0,2.5,0.4,-4942386
0.5,0,2.5,0.5,-4942386
0.5,0,2.5,0.6,-4942386
0.5,0,2.5,0.7,-4942386
0.5,0,2.5,0.8,-4942386
0.5,0.1,0.9,0.2,-930208
0.5,0.1,0.9,0.3,-930208
0.5,0.1,0.9,0.4,-930208
0.5,0.1,0.9,0.5,-930208
0.5,0.1,0.9,0.6,-930208
0.5,0.1,0.9,0.7,-930208
0.5,0.1,0.9,0.8,-930208
0.5,0.1,1.1,0.2,-868058
0.5,0.1,1.1,0.3,-868058
0.5,0.1,1.1,0.4,-868058
0.5,0.1,1.1,0.5,-868058
0.5,0.1,1.1,0.6,-868058
0.5,0.1,1.1,0.7,-868058
0.5,0.1,1.1,0.8,-868058
0.5,0.1,1.3,0.2,-1450164
0.5,0.1,1.3,0.3,-1450164
0.5,0.1,1.3,0.4,-1450164
0.5,0.1,1.3,0.5,-1450164
0.5,0.1,1.3,0.6,-1450164
0.5,0.1,1.3,0.7,-1450164
0.5,0.1,1.3,0.8,-1450164
0.5,0.1,1.5,0.2,-2032138
0.5,0.1,1.5,0.3,-2032138
0.5,0.1,1.5,0.4,-2032138
0.5,0.1,1.5,0.5,-2032138
0.5,0.1,1.5,0.6,-2032138
0.5,0.1,1.5,0.7,-2032138
0.5,0.1,1.5,0.8,-2032138
0.5,0.1,1.9,0.2,-3196266
0.5,0.1,1.9,0.3,-3196266
0.5,0.1,1.9,0.4,-3196266
0.5,0.1,1.9,0.5,-3196266
0.5,0.1,1.9,0.6,-3196266
0.5,0.1,1.9,0.7,-3196266
0.5,0.1,1.9,0.8,-3196266
0.5,0.1,2.5,0.2,-4942386
0.5,0.1,2.5,0.3,-4942386
0.5,0.1,2.5,0.4,-4942386
0.5,0.1,2.5,0.5,-4942386
0.5,0.1,2.5,0.6,-4942386
0.5,0.1,2.5,0.7,-4942386
0.5,0.1,2.5,0.8,-4942386
0.5,0.2,0.9,0.2,-930208
0.5,0.2,0.9,0.3,-930208
0.5,0.2,0.9,0.4,-930208
0.5,0.2,0.9,0.5,-930208
0.5,0.2,0.9,0.6,-930208
0.5,0.2,0.9,0.7,-930208
0.5,0.2,0.9,0.8,-930208
0.5,0.2,1.1,0.2,-868058
0.5,0.2,1.1,0.3,-868058
0.5,0.2,1.1,0.4,-868058
0.5,0.2,1.1,0.5,-868058
0.5,0.2,1.1,0.6,-868058
0.5,0.2,1.1,0.7,-868058
0.5,0.2,1.1,0.8,-868058
0.5,0.2,1.3,0.2,-1450164
0.5,0.2,1.3,0.3,-1450164
0.5,0.2,1.3,0.4,-1450164
0.5,0.2,1.3,0.5,-1450164
0.5,0.2,1.3,0.6,-1450164
0.5,0.2,1.3,0.7,-1450164
0.5,0.2,1.3,0.8,-1450164
0.5,0.2,1.5,0.2,-2032138
0.5,0.2,1.5,0.3,-2032138
0.5,0.2,1.5,0.4,-2032138
0.5,0.2,1.5,0.5,-2032138
0.5,0.2,1.5,0.6,-2032138
0.5,0.2,1.5,0.7,-2032138
0.5,0.2,1.5,0.8,-2032138
0.5,0.2,1.9,0.2,-3196266
0.5,0.2,1.9,0.3,-3196266
0.5,0.2,1.9,0.4,-3196266
0.5,0.2,1.9,0.5,-3196266
