upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-269034
0.5,0,0.9,0.3,-269034
0.5,0,0.9,0.4,-269034
0.5,0,0.9,0.5,-269034
0.5,0,0.9,0.6,-269034
0.5,0,0.9,0.7,-269034
0.5,0,0.9,0.8,-269034
0.5,0,1.1,0.2,-221541
0.5,0,1.1,0.3,-221541
0.5,0,1.1,0.4,-221541
0.5,0,1.1,0.5,-221541
0.5,0,1.1,0.6,-221541
0.5,0,1.1,0.7,-221541
0.5,0,1.1,0.8,-221541
0.5,0,1.3,0.2,-474583
0.5,0,1.3,0.3,-474583
0.5,0,1.3,0.4,-474583
0.5,0,1.3,0.5,-474583
0.5,0,1.3,0.6,-474583
0.5,0,1.3,0.7,-474583
0.5,0,1.3,0.8,-474583
0.5,0,1.5,0.2,-727657
0.5,0,1.5,0.3,-727657
0.5,0,1.5,0.4,-727657
0.5,0,1.5,0.5,-727657
0.5,0,1.5,0.6,-727657
0.5,0,1.5,0.7,-727657
0.5,0,1.5,0.8,-727657
0.5,0,1.9,0.2,-1233768
0.5,0,1.9,0.3,-1233768
0.5,0,1.9,0.4,-1233768
0.5,0,1.9,0.5,-1233768
0.5,0,1.9,0.6,-1233768
0.5,0,1.9,0.7,-1233768
0.5,0,1.9,0.8,-1233768
0.5,0,2.5,0.2,-1992931
0.5,0,2.5,0.3,-1992931
0.5,0,2.5,0.4,-1992931
0.5,0,2.5,0.5,-1992931
0.5,0,2.5,0.6,-1992931
0.5,0,2.5,0.7,-1992931
0.5,0,2.5,0.8,-1992931
0.5,0.1,0.9,0.2,-269034
0.5,0.1,0.9,0.3,-269034
0.5,0.1,0.9,0.4,-269034
0.5,0.1,0.9,0.5,-269034
0.5,0.1,0.9,0.6,-269034
0.5,0.1,0.9,0.7,-269034
0.5,0.1,0.9,0.8,-269034
0.5,0.1,1.1,0.2,-221541
0.5,0.1,1.1,0.3,-221541
0.5,0.1,1.1,0.4,-221541
0.5,0.1,1.1,0.5,-221541
0.5,0.1,1.1,0.6,-221541
0.5,0.1,1.1,0.7,-221541
0.5,0.1,1.1,0.8,-221541
0.5,0.1,1.3,0.2,-474583
0.5,0.1,1.3,0.3,-474583
0.5,0.1,1.3,0.4,-474583
0.5,0.1,1.3,0.5,-474583
0.5,0.1,1.3,0.6,-474583
0.5,0.1,1.3,0.7,-474583
0.5,0.1,1.3,0.8,-474583
0.5,0.1,1.5,0.2,-727657
0.5,0.1,1.5,0.3,-727657
0.5,0.1,1.5,0.4,-727657
0.5,0.1,1.5,0.5,-727657
0.5,0.1,1.5,0.6,-727657
0.5,0.1,1.5,0.7,-727657
0.5,0.1,1.5,0.8,-727657
0.5,0.1,1.9,0.2,-1233768
0.5,0.1,1.9,0.3,-1233768
0.5,0.1,1.9,0.4,-1233768
0.5,0.1,1.9,0.5,-1233768
0.5,0.1,1.9,0.6,-1233768
0.5,0.1,1.9,0.7,-1233768
0.5,0.1,1.9,0.8,-1233768
0.5,0.1,2.5,0.2,-1992931
0.5,0.1,2.5,0.3,-1992931
0.5,0.1,2.5,0.4,-1992931
0.5,0.1,2.5,0.5,-1992931
0.5,0.1,2.5,0.6,-1992931
0.5,0.1,2.5,0.7,-1992931
0.5,0.1,2.5,0.8,-1992931
0.5,0.2,0.9,0.2,-269034
0.5,0.2,0.9,0.3,-269034
0.5,0.2,0.9,0.4,-269034
0.5,0.2,0.9,0.5,-269034
0.5,0.2,0.9,0.6,-269034
0.5,0.2,0.9,0.7,-269034
0.5,0.2,0.9,0.8,-269034
0.5,0.2,1.1,0.2,-221541
0.5,0.2,1.1,0.3,-221541
0.5,0.2,1.1,0.4,-221541
0.5,0.2,1.1,0.5,-221541
0.5,0.2,1.1,0.6,-221541
0.5,0.2,1.1,0.7,-221541
0.5,0.2,1.1,0.8,-221541
0.5,0.2,1.3,0.2,-474583
0.5,0.2,1.3,0.3,-474583
0.5,0.2,1.3,0.4,-474583
0.5,0.2,1.3,0.5,-474583
0.5,0.2,1.3,0.6,-474583
0.5,0.2,1.3,0.7,-474583
0.5,0.2,1.3,0.8,-474583
0.5,0.2,1.5,0.2,-727657
0.5,0.2,1.5,0.3,-727657
0.5,0.2,1.5,0.4,-727657
0.5,0.2,1.5,0.5,-727657
0.5,0.2,1.5,0.6,-727657
0.5,0.2,1.5,0.7,-727657
0.5,0.2,1.5,0.8,-727657
0.5,0.2,1.9,0.2,-1233768
0.5,0.2,1.9,0.3,-1233768
0.5,0.2,1.9,0.4,-1233768
0.5,0.2,1.9,0.5,-1233768
0.5,0.2,1.9,0.6,-1233768
0.5,0.2,1.9,0.7,-1233768
0.5,0.2,1.9,0.8,-1233768
0.5,0.2,2.5,0.2,-1992931
0.5,0.2,2.5,0.3,-1992931
