upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-153311
0.5,0,0.9,0.3,-153311
0.5,0,0.9,0.4,-153311
0.5,0,0.9,0.5,-153311
0.5,0,0.9,0.6,-153311
0.5,0,0.9,0.7,-153311
0.5,0,0.9,0.8,-153311
0.5,0,1.1,0.2,-419977
0.5,0,1.1,0.3,-419977
0.5,0,1.1,0.4,-419977
0.5,0,1.1,0.5,-419977
0.5,0,1.1,0.6,-419977
0.5,0,1.1,0.7,-419977
0.5,0,1.1,0.8,-419977
0.5,0,1.3,0.2,-658192
0.5,0,1.3,0.3,-658192
0.5,0,1.3,0.4,-658192
0.5,0,1.3,0.5,-658192
0.5,0,1.3,0.6,-658192
0.5,0,1.3,0.7,-658192
0.5,0,1.3,0.8,-658192
0.5,0,1.5,0.2,-896439
0.5,0,1.5,0.3,-896439
0.5,0,1.5,0.4,-896439
0.5,0,1.5,0.5,-896439
0.5,0,1.5,0.6,-896439
0.5,0,1.5,0.7,-896439
0.5,0,1.5,0.8,-896439
0.5,0,1.9,0.2,-1372886
0.5,0,1.9,0.3,-1372886
0.5,0,1.9,0.4,-1372886
0.5,0,1.9,0.5,-1372886
0.5,0,1.9,0.6,-1372886
0.5,0,1.9,0.7,-1372886
0.5,0,1.9,0.8,-1372886
0.5,0,2.5,0.2,-2087567
0.5,0,2.5,0.3,-2087567
0.5,0,2.5,0.4,-2087567
0.5,0,2.5,0.5,-2087567
0.5,0,2.5,0.6,-2087567
0.5,0,2.5,0.7,-2087567
0.5,0,2.5,0.8,-2087567
0.5,0.1,0.9,0.2,-153311
0.5,0.1,0.9,0.3,-153311
0.5,0.1,0.9,0.4,-153311
0.5,0.1,0.9,0.5,-153311
0.5,0.1,0.9,0.6,-153311
0.5,0.1,0.9,0.7,-153311
0.5,0.1,0.9,0.8,-153311
0.5,0.1,1.1,0.2,-419977
0.5,0.1,1.1,0.3,-419977
0.5,0.1,1.1,0.4,-419977
0.5,0.1,1.1,0.5,-419977
0.5,0.1,1.1,0.6,-419977
0.5,0.1,1.1,0.7,-419977
0.5,0.1,1.1,0.8,-419977
0.5,0.1,1.3,0.2,-658192
0.5,0.1,1.3,0.3,-658192
0.5,0.1,1.3,0.4,-658192
0.5,0.1,1.3,0.5,-658192
0.5,0.1,1.3,0.6,-658192
0.5,0.1,1.3,0.7,-658192
0.5,0.1,1.3,0.8,-658192
0.5,0.1,1.5,0.2,-896439
0.5,0.1,1.5,0.3,-896439
0.5,0.1,1.5,0.4,-896439
0.5,0.1,1.5,0.5,-896439
0.5,0.1,1.5,0.6,-896439
0.5,0.1,1.5,0.7,-896439
0.5,0.1,1.5,0.8,-896439
0.5,0.1,1.9,0.2,-1372886
0.5,0.1,1.9,0.3,-1372886
0.5,0.1,1.9,0.4,-1372886
0.5,0.1,1.9,0.5,-1372886
0.5,0.1,1.9,0.6,-1372886
0.5,0.1,1.9,0.7,-1372886
0.5,0.1,1.9,0.8,-1372886
0.5,0.1,2.5,0.2,-2087567
0.5,0.1,2.5,0.3,-2087567
0.5,0.1,2.5,0.4,-2087567
0.5,0.1,2.5,0.5,-2087567
0.5,0.1,2.5,0.6,-2087567
0.5,0.1,2.5,0.7,-2087567
0.5,0.1,2.5,0.8,-2087567
0.5,0.2,0.9,0.2,-153311
0.5,0.2,0.9,0.3,-153311
0.5,0.2,0.9,0.4,-153311
0.5,0.2,0.9,0.5,-153311
0.5,0.2,0.9,0.6,-153311
0.5,0.2,0.9,0.7,-153311
0.5,0.2,0.9,0.8,-153311
0.5,0.2,1.1,0.2,-420846
0.5,0.2,1.1,0.3,-420846
0.5,0.2,1.1,0.4,-420846
0.5,0.2,1.1,0.5,-420846
0.5,0.2,1.1,0.6,-420846
0.5,0.2,1.1,0.7,-420846
0.5,0.2,1.1,0.8,-420846
0.5,0.2,1.3,0.2,-659061
0.5,0.2,1.3,0.3,-659061
0.5,0.2,1.3,0.4,-659061
0.5,0.2,1.3,0.5,-659061
0.5,0.2,1.3,0.6,-659061
0.5,0.2,1.3,0.7,-659061
0.5,0.2,1.3,0.8,-659061
0.5,0.2,1.5,0.2,-897308
0.5,0.2,1.5,0.3,-897308
0.5,0.2,1.5,0.4,-897308
0.5,0.2,1.5,0.5,-897308
0.5,0.2,1.5,0.6,-897308
0.5,0.2,1.5,0.7,-897308
0.5,0.2,1.5,0.8,-897308
0.5,0.2,1.9,0.2,-1373755
0.5,0.2,1.9,0.3,-1373755
0.5,0.2,1.9,0.4,-1373755
0.5,0.2,1.9,0.5,-1373755
0.5,0.2,1.9,0.6,-1373755
0.5,0.2,1.9,0.7,-1373755
0.5,0.2,1.9,0.8,-1373755
0.5,0.2,2.5,0.2,-2088436
0.5,0.2,2.5,0.3,-2088436
0.5,0.2,2.5,0.4,-2088436
0.5,0.2,2.5,0.5,-2088436
0.5,0.2,2.5,0.6,-2088436
0.5,0.2,2.5,0.7,-2088436
0.5,0.2,2.5,0.8,-2088436
0.5,0.3,0.9,0.2,-154307
0.5,0.3,0.9,0.3,-154307
0.5,0.3,0.9,0.4,-154307
0.5,0.3,0.9,0.5,-154307
0.5,0.3,0.9,0.6,-154307
0.5,0.3,0.9,0.7,-154307
0.5,0.3,0.9,0.8,-154307
0.5,0.3,1.1,0.2,-928445
0.5,0.3,1.1,0.3,-859967
0.5,0.3,1.1,0.4,-791484
0.5,0.3,1.1,0.5,-723033
0.5,0.3,1.1,0.6,-654535
0.5,0.3,1.1,0.7,-586055
0.5,0.3,1.1,0.8,-517581
0.5,0.3,1.3,0.2,-1187288
0.5,0.3,1.3,0.3,-1118810
0.5,0.3,1.3,0.4,-1050327
0.5,0.3,1.3,0.5,-981876
0.5,0.3,1.3,0.6,-913378
0.5,0.3,1.3,0.7,-844898
0.5,0.3,1.3,0.8,-776424
0.5,0.3,1.5,0.2,-1446173
0.5,0.3,1.5,0.3,-1377695
0.5,0.3,1.5,0.4,-1309212
0.5,0.3,1.5,0.5,-1240761
0.5,0.3,1.5,0.6,-1172263
0.5,0.3,1.5,0.7,-1103783
0.5,0.3,1.5,0.8,-1035309
0.5,0.3,1.9,0.2,-1963908
0.5,0.3,1.9,0.3,-1895430
0.5,0.3,1.9,0.4,-1826947
0.5,0.3,1.9,0.5,-1758496
0.5,0.3,1.9,0.6,-1689998
0.5,0.3,1.9,0.7,-1621518
0.5,0.3,1.9,0.8,-1553044
0.5,0.3,2.5,0.2,-2740519
0.5,0.3,2.5,0.3,-2672041
0.5,0.3,2.5,0.4,-2603558
0.5,0.3,2.5,0.5,-2535107
0.5,0.3,2.5,0.6,-2466609
0.5,0.3,2.5,0.7,-2398129
0.5,0.3,2.5,0.8,-2329655
0.5,0.4,0.9,0.2,-178719
0.5,0.4,0.9,0.3,-174807
0.5,0.4,0.9,0.4,-170901
0.5,0.4,0.9,0.5,-166989
0.5,0.4,0.9,0.6,-163077
0.5,0.4,0.9,0.7,-159171
0.5,0.4,0.9,0.8,-155259
0.5,0.4,1.1,0.2,-913760
0.5,0.4,1.1,0.3,-847217
0.5,0.4,1.1,0.4,-780672
0.5,0.4,1.1,0.5,-714150
0.5,0.4,1.1,0.6,-647596
0.5,0.4,1.1,0.7,-581051
0.5,0.4,1.1,0.8,-514515
0.5,0.4,1.3,0.2,-1172603
0.5,0.4,1.3,0.3,-1106060
0.5,0.4,1.3,0.4,-1039515
0.5,0.4,1.3,0.5,-972993
0.5,0.4,1.3,0.6,-906439
0.5,0.4,1.3,0.7,-839894
0.5,0.4,1.3,0.8,-773358
0.5,0.4,1.5,0.2,-1431488
0.5,0.4,1.5,0.3,-1364945
0.5,0.4,1.5,0.4,-1298400
0.5,0.4,1.5,0.5,-1231878
0.5,0.4,1.5,0.6,-1165324
0.5,0.4,1.5,0.7,-1098779
0.5,0.4,1.5,0.8,-1032243
0.5,0.4,1.9,0.2,-1949223
0.5,0.4,1.9,0.3,-1882680
0.5,0.4,1.9,0.4,-1816135
0.5,0.4,1.9,0.5,-1749613
0.5,0.4,1.9,0.6,-1683059
0.5,0.4,1.9,0.7,-1616514
0.5,0.4,1.9,0.8,-1549978
0.5,0.4,2.5,0.2,-2725834
0.5,0.4,2.5,0.3,-2659291
0.5,0.4,2.5,0.4,-2592746
0.5,0.4,2.5,0.5,-2526224
0.5,0.4,2.5,0.6,-2459670
0.5,0.4,2.5,0.7,-2393125
0.5,0.4,2.5,0.8,-2326589
0.5,0.5,0.9,0.2,-213294
0.5,0.5,0.9,0.3,-209382
0.5,0.5,0.9,0.4,-205476
0.5,0.5,0.9,0.5,-201564
0.5,0.5,0.9,0.6,-197652
0.5,0.5,0.9,0.7,-193746
0.5,0.5,0.9,0.8,-189834
0.5,0.5,1.1,0.2,-2085642
0.5,0.5,1.1,0.3,-1901112
0.5,0.5,1.1,0.4,-1716610
0.5,0.5,1.1,0.5,-1532119
0.5,0.5,1.1,0.6,-1347568
0.5,0.5,1.1,0.7,-1163072
0.5,0.5,1.1,0.8,-978543
0.5,0.5,1.3,0.2,-2524861
0.5,0.5,1.3,0.3,-2340331
0.5,0.5,1.3,0.4,-2155829
0.5,0.5,1.3,0.5,-1971338
0.5,0.5,1.3,0.6,-1786787
0.5,0.5,1.3,0.7,-1602291
0.5,0.5,1.3,0.8,-1417762
0.5,0.5,1.5,0.2,-2964155
0.5,0.5,1.5,0.3,-2779625
0.5,0.5,1.5,0.4,-2595123
0.5,0.5,1.5,0.5,-2410632
0.5,0.5,1.5,0.6,-2226081
0.5,0.5,1.5,0.7,-2041585
0.5,0.5,1.5,0.8,-1857056
0.5,0.5,1.9,0.2,-3842691
0.5,0.5,1.9,0.3,-3658161
0.5,0.5,1.9,0.4,-3473659
0.5,0.5,1.9,0.5,-3289168
0.5,0.5,1.9,0.6,-3104617
0.5,0.5,1.9,0.7,-2920121
0.5,0.5,1.9,0.8,-2735592
0.5,0.5,2.5,0.2,-5160503
0.5,0.5,2.5,0.3,-4975973
0.5,0.5,2.5,0.4,-4791471
0.5,0.5,2.5,0.5,-4606980
0.5,0.5,2.5,0.6,-4422429
0.5,0.5,2.5,0.7,-4237933
0.5,0.5,2.5,0.8,-4053404
0.6,0,0.9,0.2,-429238
0.6,0,0.9,0.3,-429238
0.6,0,0.9,0.4,-429238
0.6,0,0.9,0.5,-429238
0.6,0,0.9,0.6,-429238
0.6,0,0.9,0.7,-429238
0.6,0,0.9,0.8,-429238
0.6,0,1.1,0.2,-379864
0.6,0,1.1,0.3,-379864
0.6,0,1.1,0.4,-379864
0.6,0,1.1,0.5,-379864
0.6,0,1.1,0.6,-379864
0.6,0,1.1,0.7,-379864
0.6,0,1.1,0.8,-379864
0.6,0,1.3,0.2,-687417
0.6,0,1.3,0.3,-687417
0.6,0,1.3,0.4,-687417
0.6,0,1.3,0.5,-687417
0.6,0,1.3,0.6,-687417
0.6,0,1.3,0.7,-687417
0.6,0,1.3,0.8,-687417
0.6,0,1.5,0.2,-994996
0.6,0,1.5,0.3,-994996
0.6,0,1.5,0.4,-994996
0.6,0,1.5,0.5,-994996
0.6,0,1.5,0.6,-994996
0.6,0,1.5,0.7,-994996
0.6,0,1.5,0.8,-994996
0.6,0,1.9,0.2,-1610153
0.6,0,1.9,0.3,-1610153
0.6,0,1.9,0.4,-1610153
0.6,0,1.9,0.5,-1610153
0.6,0,1.9,0.6,-1610153
0.6,0,1.9,0.7,-1610153
0.6,0,1.9,0.8,-1610153
0.6,0,2.5,0.2,-2532894
0.6,0,2.5,0.3,-2532894
0.6,0,2.5,0.4,-2532894
0.6,0,2.5,0.5,-2532894
0.6,0,2.5,0.6,-2532894
0.6,0,2.5,0.7,-2532894
0.6,0,2.5,0.8,-2532894
0.6,0.1,0.9,0.2,-429238
0.6,0.1,0.9,0.3,-429238
0.6,0.1,0.9,0.4,-429238
0.6,0.1,0.9,0.5,-429238
0.6,0.1,0.9,0.6,-429238
0.6,0.1,0.9,0.7,-429238
0.6,0.1,0.9,0.8,-429238
0.6,0.1,1.1,0.2,-379864
0.6,0.1,1.1,0.3,-379864
0.6,0.1,1.1,0.4,-379864
0.6,0.1,1.1,0.5,-379864
0.6,0.1,1.1,0.6,-379864
0.6,0.1,1.1,0.7,-379864
0.6,0.1,1.1,0.8,-379864
0.6,0.1,1.3,0.2,-687417
0.6,0.1,1.3,0.3,-687417
0.6,0.1,1.3,0.4,-687417
0.6,0.1,1.3,0.5,-687417
0.6,0.1,1.3,0.6,-687417
0.6,0.1,1.3,0.7,-687417
0.6,0.1,1.3,0.8,-687417
0.6,0.1,1.5,0.2,-994996
0.6,0.1,1.5,0.3,-994996
0.6,0.1,1.5,0.4,-994996
0.6,0.1,1.5,0.5,-994996
0.6,0.1,1.5,0.6,-994996
0.6,0.1,1.5,0.7,-994996
0.6,0.1,1.5,0.8,-994996
0.6,0.1,1.9,0.2,-1610153
0.6,0.1,1.9,0.3,-1610153
0.6,0.1,1.9,0.4,-1610153
0.6,0.1,1.9,0.5,-1610153
0.6,0.1,1.9,0.6,-1610153
0.6,0.1,1.9,0.7,-1610153
0.6,0.1,1.9,0.8,-1610153
0.6,0.1,2.5,0.2,-2532894
0.6,0.1,2.5,0.3,-2532894
0.6,0.1,2.5,0.4,-2532894
0.6,0.1,2.5,0.5,-2532894
0.6,0.1,2.5,0.6,-2532894
0.6,0.1,2.5,0.7,-2532894
0.6,0.1,2.5,0.8,-2532894
0.6,0.2,0.9,0.2,-429238
0.6,0.2,0.9,0.3,-429238
0.6,0.2,0.9,0.4,-429238
0.6,0.2,0.9,0.5,-429238
0.6,0.2,0.9,0.6,-429238
0.6,0.2,0.9,0.7,-429238
0.6,0.2,0.9,0.8,-429238
0.6,0.2,1.1,0.2,-380225
0.6,0.2,1.1,0.3,-380225
0.6,0.2,1.1,0.4,-380225
0.6,0.2,1.1,0.5,-380225
0.6,0.2,1.1,0.6,-380225
0.6,0.2,1.1,0.7,-380225
0.6,0.2,1.1,0.8,-380225
0.6,0.2,1.3,0.2,-687778
0.6,0.2,1.3,0.3,-687778
0.6,0.2,1.3,0.4,-687778
0.6,0.2,1.3,0.5,-687778
0.6,0.2,1.3,0.6,-687778
0.6,0.2,1.3,0.7,-687778
0.6,0.2,1.3,0.8,-687778
0.6,0.2,1.5,0.2,-995357
0.6,0.2,1.5,0.3,-995357
0.6,0.2,1.5,0.4,-995357
0.6,0.2,1.5,0.5,-995357
0.6,0.2,1.5,0.6,-995357
0.6,0.2,1.5,0.7,-995357
0.6,0.2,1.5,0.8,-995357
0.6,0.2,1.9,0.2,-1610514
0.6,0.2,1.9,0.3,-1610514
0.6,0.2,1.9,0.4,-1610514
0.6,0.2,1.9,0.5,-1610514
0.6,0.2,1.9,0.6,-1610514
0.6,0.2,1.9,0.7,-1610514
0.6,0.2,1.9,0.8,-1610514
0.6,0.2,2.5,0.2,-2533255
0.6,0.2,2.5,0.3,-2533255
0.6,0.2,2.5,0.4,-2533255
0.6,0.2,2.5,0.5,-2533255
0.6,0.2,2.5,0.6,-2533255
0.6,0.2,2.5,0.7,-2533255
0.6,0.2,2.5,0.8,-2533255
0.6,0.3,0.9,0.2,-306922
0.6,0.3,0.9,0.3,-306922
0.6,0.3,0.9,0.4,-306922
0.6,0.3,0.9,0.5,-306922
0.6,0.3,0.9,0.6,-306922
0.6,0.3,0.9,0.7,-306922
0.6,0.3,0.9,0.8,-306922
0.6,0.3,1.1,0.2,-1259524
0.6,0.3,1.1,0.3,-1159197
0.6,0.3,1.1,0.4,-1058897
0.6,0.3,1.1,0.5,-958617
0.6,0.3,1.1,0.6,-858287
0.6,0.3,1.1,0.7,-757980
0.6,0.3,1.1,0.8,-657667
0.6,0.3,1.3,0.2,-1651117
0.6,0.3,1.3,0.3,-1550790
0.6,0.3,1.3,0.4,-1450490
0.6,0.3,1.3,0.5,-1350210
0.6,0.3,1.3,0.6,-1249880
0.6,0.3,1.3,0.7,-1149573
0.6,0.3,1.3,0.8,-1049260
0.6,0.3,1.5,0.2,-2042754
0.6,0.3,1.5,0.3,-1942427
0.6,0.3,1.5,0.4,-1842127
0.6,0.3,1.5,0.5,-1741847
0.6,0.3,1.5,0.6,-1641517
0.6,0.3,1.5,0.7,-1541210
0.6,0.3,1.5,0.8,-1440897
0.6,0.3,1.9,0.2,-2826010
0.6,0.3,1.9,0.3,-2725683
0.6,0.3,1.9,0.4,-2625383
0.6,0.3,1.9,0.5,-2525103
0.6,0.3,1.9,0.6,-2424773
0.6,0.3,1.9,0.7,-2324466
0.6,0.3,1.9,0.8,-2224153
0.6,0.3,2.5,0.2,-4000900
0.6,0.3,2.5,0.3,-3900573
0.6,0.3,2.5,0.4,-3800273
0.6,0.3,2.5,0.5,-3699993
0.6,0.3,2.5,0.6,-3599663
0.6,0.3,2.5,0.7,-3499356
0.6,0.3,2.5,0.8,-3399043
0.6,0.4,0.9,0.2,-330124
0.6,0.4,0.9,0.3,-326212
0.6,0.4,0.9,0.4,-322306
0.6,0.4,0.9,0.5,-318394
0.6,0.4,0.9,0.6,-314482
0.6,0.4,0.9,0.7,-310576
0.6,0.4,0.9,0.8,-306664
0.6,0.4,1.1,0.2,-1465811
0.6,0.4,1.1,0.3,-1344056
0.6,0.4,1.1,0.4,-1222360
0.6,0.4,1.1,0.5,-1100662
0.6,0.4,1.1,0.6,-978916
0.6,0.4,1.1,0.7,-857197
0.6,0.4,1.1,0.8,-735472
0.6,0.4,1.3,0.2,-1865191
0.6,0.4,1.3,0.3,-1743436
0.6,0.4,1.3,0.4,-1621740
0.6,0.4,1.3,0.5,-1500042
0.6,0.4,1.3,0.6,-1378296
0.6,0.4,1.3,0.7,-1256577
0.6,0.4,1.3,0.8,-1134852
0.6,0.4,1.5,0.2,-2264645
0.6,0.4,1.5,0.3,-2142890
0.6,0.4,1.5,0.4,-2021194
0.6,0.4,1.5,0.5,-1899496
0.6,0.4,1.5,0.6,-1777750
0.6,0.4,1.5,0.7,-1656031
0.6,0.4,1.5,0.8,-1534306
0.6,0.4,1.9,0.2,-3063510
0.6,0.4,1.9,0.3,-2941755
0.6,0.4,1.9,0.4,-2820059
0.6,0.4,1.9,0.5,-2698361
0.6,0.4,1.9,0.6,-2576615
0.6,0.4,1.9,0.7,-2454896
0.6,0.4,1.9,0.8,-2333171
0.6,0.4,2.5,0.2,-4261813
0.6,0.4,2.5,0.3,-4140058
0.6,0.4,2.5,0.4,-4018362
0.6,0.4,2.5,0.5,-3896664
0.6,0.4,2.5,0.6,-3774918
0.6,0.4,2.5,0.7,-3653199
