upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-1742
0.5,0,0.9,0.3,-1742
0.5,0,0.9,0.4,-1742
0.5,0,0.9,0.5,-1742
0.5,0,0.9,0.6,-1742
0.5,0,0.9,0.7,-1742
0.5,0,0.9,0.8,-1742
0.5,0,1.1,0.2,-2401
0.5,0,1.1,0.3,-2401
0.5,0,1.1,0.4,-2401
0.5,0,1.1,0.5,-2401
0.5,0,1.1,0.6,-2401
0.5,0,1.1,0.7,-2401
0.5,0,1.1,0.8,-2401
0.5,0,1.3,0.2,-2401
0.5,0,1.3,0.3,-2401
0.5,0,1.3,0.4,-2401
0.5,0,1.3,0.5,-2401
0.5,0,1.3,0.6,-2401
0.5,0,1.3,0.7,-2401
0.5,0,1.3,0.8,-2401
0.5,0,1.5,0.2,-2401
0.5,0,1.5,0.3,-2401
0.5,0,1.5,0.4,-2401
0.5,0,1.5,0.5,-2401
0.5,0,1.5,0.6,-2401
0.5,0,1.5,0.7,-2401
0.5,0,1.5,0.8,-2401
0.5,0,1.9,0.2,-2401
0.5,0,1.9,0.3,-2401
0.5,0,1.9,0.4,-2401
0.5,0,1.9,0.5,-2401
0.5,0,1.9,0.6,-2401
0.5,0,1.9,0.7,-2401
0.5,0,1.9,0.8,-2401
0.5,0,2.5,0.2,-2401
0.5,0,2.5,0.3,-2401
0.5,0,2.5,0.4,-2401
0.5,0,2.5,0.5,-2401
0.5,0,2.5,0.6,-2401
0.5,0,2.5,0.7,-2401
0.5,0,2.5,0.8,-2401
0.5,0.1,0.9,0.2,-10818
0.5,0.1,0.9,0.3,-10001
0.5,0.1,0.9,0.4,-9188
0.5,0.1,0.9,0.5,-8372
0.5,0.1,0.9,0.6,-7556
0.5,0.1,0.9,0.7,-6740
0.5,0.1,0.9,0.8,-5923
0.5,0.1,1.1,0.2,-28819
0.5,0.1,1.1,0.3,-25973
0.5,0.1,1.1,0.4,-23135
0.5,0.1,1.1,0.5,-20293
0.5,0.1,1.1,0.6,-17448
0.5,0.1,1.1,0.7,-14606
