upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-19754
0.5,0,0.9,0.3,-19754
0.5,0,0.9,0.4,-19754
0.5,0,0.9,0.5,-19754
0.5,0,0.9,0.6,-19754
0.5,0,0.9,0.7,-19754
0.5,0,0.9,0.8,-19754
0.5,0,1.1,0.2,16952
0.5,0,1.1,0.3,16952
0.5,0,1.1,0.4,16952
0.5,0,1.1,0.5,16952
0.5,0,1.1,0.6,16952
0.5,0,1.1,0.7,16952
0.5,0,1.1,0.8,16952
0.5,0,1.3,0.2,16952
0.5,0,1.3,0.3,16952
0.5,0,1.3,0.4,16952
0.5,0,1.3,0.5,16952
0.5,0,1.3,0.6,16952
0.5,0,1.3,0.7,16952
0.5,0,1.3,0.8,16952
0.5,0,1.5,0.2,16952
0.5,0,1.5,0.3,16952
0.5,0,1.5,0.4,16952
0.5,0,1.5,0.5,16952
0.5,0,1.5,0.6,16952
0.5,0,1.5,0.7,16952
0.5,0,1.5,0.8,16952
0.5,0,1.9,0.2,16952
0.5,0,1.9,0.3,16952
0.5,0,1.9,0.4,16952
0.5,0,1.9,0.5,16952
0.5,0,1.9,0.6,16952
0.5,0,1.9,0.7,16952
0.5,0,1.9,0.8,16952
0.5,0,2.5,0.2,16952
0.5,0,2.5,0.3,16952
0.5,0,2.5,0.4,16952
0.5,0,2.5,0.5,16952
0.5,0,2.5,0.6,16952
0.5,0,2.5,0.7,16952
0.5,0,2.5,0.8,16952
0.5,0.1,0.9,0.2,-19094
0.5,0.1,0.9,0.3,-19094
0.5,0.1,0.9,0.4,-19094
0.5,0.1,0.9,0.5,-19094
0.5,0.1,0.9,0.6,-19094
0.5,0.1,0.9,0.7,-19094
0.5,0.1,0.9,0.8,-19094
0.5,0.1,1.1,0.2,5713
0.5,0.1,1.1,0.3,5713
0.5,0.1,1.1,0.4,5713
0.5,0.1,1.1,0.5,5713
0.5,0.1,1.1,0.6,5713
0.5,0.1,1.1,0.7,5713
0.5,0.1,1.1,0.8,5713
0.5,0.1,1.3,0.2,5713
0.5,0.1,1.3,0.3,5713
0.5,0.1,1.3,0.4,5713
0.5,0.1,1.3,0.5,5713
0.5,0.1,1.3,0.6,5713
0.5,0.1,1.3,0.7,5713
0.5,0.1,1.3,0.8,5713
0.5,0.1,1.5,0.2,5713
0.5,0.1,1.5,0.3,5713
0.5,0.1,1.5,0.4,5713
0.5,0.1,1.5,0.5,5713
0.5,0.1,1.5,0.6,5713
0.5,0.1,1.5,0.7,5713
