upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-31071
0.5,0,0.9,0.3,-31071
0.5,0,0.9,0.4,-31071
0.5,0,0.9,0.5,-31071
0.5,0,0.9,0.6,-31071
0.5,0,0.9,0.7,-31071
0.5,0,0.9,0.8,-31071
0.5,0,1.1,0.2,28907
0.5,0,1.1,0.3,28907
0.5,0,1.1,0.4,28907
0.5,0,1.1,0.5,28907
0.5,0,1.1,0.6,28907
0.5,0,1.1,0.7,28907
0.5,0,1.1,0.8,28907
0.5,0,1.3,0.2,28907
0.5,0,1.3,0.3,28907
0.5,0,1.3,0.4,28907
0.5,0,1.3,0.5,28907
0.5,0,1.3,0.6,28907
0.5,0,1.3,0.7,28907
0.5,0,1.3,0.8,28907
0.5,0,1.5,0.2,28907
0.5,0,1.5,0.3,28907
0.5,0,1.5,0.4,28907
0.5,0,1.5,0.5,28907
0.5,0,1.5,0.6,28907
0.5,0,1.5,0.7,28907
0.5,0,1.5,0.8,28907
0.5,0,1.9,0.2,28907
0.5,0,1.9,0.3,28907
0.5,0,1.9,0.4,28907
0.5,0,1.9,0.5,28907
0.5,0,1.9,0.6,28907
0.5,0,1.9,0.7,28907
0.5,0,1.9,0.8,28907
0.5,0,2.5,0.2,28907
0.5,0,2.5,0.3,28907
0.5,0,2.5,0.4,28907
0.5,0,2.5,0.5,28907
0.5,0,2.5,0.6,28907
0.5,0,2.5,0.7,28907
0.5,0,2.5,0.8,28907
0.5,0.1,0.9,0.2,-249050
0.5,0.1,0.9,0.3,-221996
0.5,0.1,0.9,0.4,-194950
0.5,0.1,0.9,0.5,-167896
0.5,0.1,0.9,0.6,-140852
0.5,0.1,0.9,0.7,-113798
0.5,0.1,0.9,0.8,-86752
0.5,0.1,1.1,0.2,-189815
0.5,0.1,1.1,0.3,-162761
0.5,0.1,1.1,0.4,-135716
0.5,0.1,1.1,0.5,-108662
0.5,0.1,1.1,0.6,-81617
0.5,0.1,1.1,0.7,-54563
0.5,0.1,1.1,0.8,-27518
0.5,0.1,1.3,0.2,-189815
0.5,0.1,1.3,0.3,-162761
0.5,0.1,1.3,0.4,-135716
0.5,0.1,1.3,0.5,-108662
0.5,0.1,1.3,0.6,-81617
0.5,0.1,1.3,0.7,-54563
0.5,0.1,1.3,0.8,-27518
0.5,0.1,1.5,0.2,-189815
0.5,0.1,1.5,0.3,-162761
0.5,0.1,1.5,0.4,-135716
0.5,0.1,1.5,0.5,-108662
0.5,0.1,1.5,0.6,-81617
0.5,0.1,1.5,0.7,-54563
0.5,0.1,1.5,0.8,-27518
0.5,0.1,1.9,0.2,-189815
0.5,0.1,1.9,0.3,-162761
0.5,0.1,1.9,0.4,-135716
0.5,0.1,1.9,0.5,-108662
0.5,0.1,1.9,0.6,-81617
0.5,0.1,1.9,0.7,-54563
0.5,0.1,1.9,0.8,-27518
0.5,0.1,2.5,0.2,-189815
0.5,0.1,2.5,0.3,-162761
0.5,0.1,2.5,0.4,-135716
0.5,0.1,2.5,0.5,-108662
0.5,0.1,2.5,0.6,-81617
0.5,0.1,2.5,0.7,-54563
0.5,0.1,2.5,0.8,-27518
0.5,0.2,0.9,0.2,-31320
0.5,0.2,0.9,0.3,-31320
0.5,0.2,0.9,0.4,-31320
0.5,0.2,0.9,0.5,-31320
0.5,0.2,0.9,0.6,-31320
0.5,0.2,0.9,0.7,-31320
0.5,0.2,0.9,0.8,-31320
0.5,0.2,1.1,0.2,24712
0.5,0.2,1.1,0.3,24712
0.5,0.2,1.1,0.4,24712
0.5,0.2,1.1,0.5,24712
0.5,0.2,1.1,0.6,24712
0.5,0.2,1.1,0.7,24712
0.5,0.2,1.1,0.8,24712
0.5,0.2,1.3,0.2,24712
0.5,0.2,1.3,0.3,24712
0.5,0.2,1.3,0.4,24712
0.5,0.2,1.3,0.5,24712
0.5,0.2,1.3,0.6,24712
0.5,0.2,1.3,0.7,24712
0.5,0.2,1.3,0.8,24712
0.5,0.2,1.5,0.2,24712
0.5,0.2,1.5,0.3,24712
0.5,0.2,1.5,0.4,24712
0.5,0.2,1.5,0.5,24712
0.5,0.2,1.5,0.6,24712
0.5,0.2,1.5,0.7,24712
0.5,0.2,1.5,0.8,24712
0.5,0.2,1.9,0.2,24712
0.5,0.2,1.9,0.3,24712
0.5,0.2,1.9,0.4,24712
0.5,0.2,1.9,0.5,24712
0.5,0.2,1.9,0.6,24712
0.5,0.2,1.9,0.7,24712
0.5,0.2,1.9,0.8,24712
0.5,0.2,2.5,0.2,24712
0.5,0.2,2.5,0.3,24712
0.5,0.2,2.5,0.4,24712
0.5,0.2,2.5,0.5,24712
0.5,0.2,2.5,0.6,24712
0.5,0.2,2.5,0.7,24712
0.5,0.2,2.5,0.8,24712
0.5,0.3,0.9,0.2,-31834
0.5,0.3,0.9,0.3,-31834
0.5,0.3,0.9,0.4,-31834
0.5,0.3,0.9,0.5,-31834
0.5,0.3,0.9,0.6,-31834
0.5,0.3,0.9,0.7,-31834
0.5,0.3,0.9,0.8,-31834
0.5,0.3,1.1,0.2,23166
0.5,0.3,1.1,0.3,23166
0.5,0.3,1.1,0.4,23166
0.5,0.3,1.1,0.5,23166
0.5,0.3,1.1,0.6,23166
0.5,0.3,1.1,0.7,23166
0.5,0.3,1.1,0.8,23166
0.5,0.3,1.3,0.2,23166
0.5,0.3,1.3,0.3,23166
0.5,0.3,1.3,0.4,23166
