upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-15255
0.5,0,0.9,0.3,-15255
0.5,0,0.9,0.4,-15255
0.5,0,0.9,0.5,-15255
0.5,0,0.9,0.6,-15255
0.5,0,0.9,0.7,-15255
0.5,0,0.9,0.8,-15255
0.5,0,1.1,0.2,-477
0.5,0,1.1,0.3,-477
0.5,0,1.1,0.4,-477
0.5,0,1.1,0.5,-477
0.5,0,1.1,0.6,-477
0.5,0,1.1,0.7,-477
0.5,0,1.1,0.8,-477
0.5,0,1.3,0.2,-5559
0.5,0,1.3,0.3,-5559
0.5,0,1.3,0.4,-5559
0.5,0,1.3,0.5,-5559
0.5,0,1.3,0.6,-5559
0.5,0,1.3,0.7,-5559
0.5,0,1.3,0.8,-5559
0.5,0,1.5,0.2,-10654
0.5,0,1.5,0.3,-10654
0.5,0,1.5,0.4,-10654
0.5,0,1.5,0.5,-10654
0.5,0,1.5,0.6,-10654
0.5,0,1.5,0.7,-10654
0.5,0,1.5,0.8,-10654
0.5,0,1.9,0.2,-20818
0.5,0,1.9,0.3,-20818
0.5,0,1.9,0.4,-20818
0.5,0,1.9,0.5,-20818
0.5,0,1.9,0.6,-20818
0.5,0,1.9,0.7,-20818
0.5,0,1.9,0.8,-20818
0.5,0,2.5,0.2,-36078
0.5,0,2.5,0.3,-36078
0.5,0,2.5,0.4,-36078
0.5,0,2.5,0.5,-36078
0.5,0,2.5,0.6,-36078
0.5,0,2.5,0.7,-36078
0.5,0,2.5,0.8,-36078
0.5,0.1,0.9,0.2,-15619
0.5,0.1,0.9,0.3,-15619
0.5,0.1,0.9,0.4,-15619
0.5,0.1,0.9,0.5,-15619
0.5,0.1,0.9,0.6,-15619
0.5,0.1,0.9,0.7,-15619
0.5,0.1,0.9,0.8,-15619
0.5,0.1,1.1,0.2,377
0.5,0.1,1.1,0.3,377
0.5,0.1,1.1,0.4,377
0.5,0.1,1.1,0.5,377
0.5,0.1,1.1,0.6,377
0.5,0.1,1.1,0.7,377
0.5,0.1,1.1,0.8,377
