upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-744830
0.5,0,0.9,0.3,-744830
0.5,0,0.9,0.4,-744830
0.5,0,0.9,0.5,-744830
0.5,0,0.9,0.6,-744830
0.5,0,0.9,0.7,-744830
0.5,0,0.9,0.8,-744830
0.5,0,1.1,0.2,-793489
0.5,0,1.1,0.3,-793489
0.5,0,1.1,0.4,-793489
0.5,0,1.1,0.5,-793489
0.5,0,1.1,0.6,-793489
0.5,0,1.1,0.7,-793489
0.5,0,1.1,0.8,-793489
0.5,0,1.3,0.2,-1077856
0.5,0,1.3,0.3,-1077856
0.5,0,1.3,0.4,-1077856
0.5,0,1.3,0.5,-1077856
0.5,0,1.3,0.6,-1077856
0.5,0,1.3,0.7,-1077856
0.5,0,1.3,0.8,-1077856
0.5,0,1.5,0.2,-1362209
0.5,0,1.5,0.3,-1362209
0.5,0,1.5,0.4,-1362209
0.5,0,1.5,0.5,-1362209
0.5,0,1.5,0.6,-1362209
0.5,0,1.5,0.7,-1362209
0.5,0,1.5,0.8,-1362209
0.5,0,1.9,0.2,-1930943
0.5,0,1.9,0.3,-1930943
0.5,0,1.9,0.4,-1930943
0.5,0,1.9,0.5,-1930943
0.5,0,1.9,0.6,-1930943
0.5,0,1.9,0.7,-1930943
0.5,0,1.9,0.8,-1930943
0.5,0,2.5,0.2,-2784049
0.5,0,2.5,0.3,-2784049
0.5,0,2.5,0.4,-2784049
0.5,0,2.5,0.5,-2784049
0.5,0,2.5,0.6,-2784049
0.5,0,2.5,0.7,-2784049
0.5,0,2.5,0.8,-2784049
0.5,0.1,0.9,0.2,-744830
0.5,0.1,0.9,0.3,-744830
0.5,0.1,0.9,0.4,-744830
0.5,0.1,0.9,0.5,-744830
0.5,0.1,0.9,0.6,-744830
0.5,0.1,0.9,0.7,-744830
0.5,0.1,0.9,0.8,-744830
0.5,0.1,1.1,0.2,-793489
0.5,0.1,1.1,0.3,-793489
0.5,0.1,1.1,0.4,-793489
0.5,0.1,1.1,0.5,-793489
0.5,0.1,1.1,0.6,-793489
0.5,0.1,1.1,0.7,-793489
0.5,0.1,1.1,0.8,-793489
0.5,0.1,1.3,0.2,-1077856
0.5,0.1,1.3,0.3,-1077856
0.5,0.1,1.3,0.4,-1077856
0.5,0.1,1.3,0.5,-1077856
0.5,0.1,1.3,0.6,-1077856
0.5,0.1,1.3,0.7,-1077856
0.5,0.1,1.3,0.8,-1077856
0.5,0.1,1.5,0.2,-1362209
0.5,0.1,1.5,0.3,-1362209
0.5,0.1,1.5,0.4,-1362209
0.5,0.1,1.5,0.5,-1362209
0.5,0.1,1.5,0.6,-1362209
0.5,0.1,1.5,0.7,-1362209
0.5,0.1,1.5,0.8,-1362209
0.5,0.1,1.9,0.2,-1930943
0.5,0.1,1.9,0.3,-1930943
0.5,0.1,1.9,0.4,-1930943
0.5,0.1,1.9,0.5,-1930943
0.5,0.1,1.9,0.6,-1930943
0.5,0.1,1.9,0.7,-1930943
0.5,0.1,1.9,0.8,-1930943
0.5,0.1,2.5,0.2,-2784049
0.5,0.1,2.5,0.3,-2784049
0.5,0.1,2.5,0.4,-2784049
0.5,0.1,2.5,0.5,-2784049
0.5,0.1,2.5,0.6,-2784049
0.5,0.1,2.5,0.7,-2784049
0.5,0.1,2.5,0.8,-2784049
0.5,0.2,0.9,0.2,-744830
0.5,0.2,0.9,0.3,-744830
0.5,0.2,0.9,0.4,-744830
0.5,0.2,0.9,0.5,-744830
0.5,0.2,0.9,0.6,-744830
0.5,0.2,0.9,0.7,-744830
0.5,0.2,0.9,0.8,-744830
0.5,0.2,1.1,0.2,-791841
0.5,0.2,1.1,0.3,-791841
0.5,0.2,1.1,0.4,-791841
