upper,lower,mult_high,mult_low,pnl
0.5,0,0.9,0.2,-224519
0.5,0,0.9,0.3,-224519
0.5,0,0.9,0.4,-224519
0.5,0,0.9,0.5,-224519
0.5,0,0.9,0.6,-224519
0.5,0,0.9,0.7,-224519
0.5,0,0.9,0.8,-224519
0.5,0,1.1,0.2,-164160
0.5,0,1.1,0.3,-164160
0.5,0,1.1,0.4,-164160
0.5,0,1.1,0.5,-164160
0.5,0,1.1,0.6,-164160
0.5,0,1.1,0.7,-164160
0.5,0,1.1,0.8,-164160
0.5,0,1.3,0.2,-181525
0.5,0,1.3,0.3,-181525
0.5,0,1.3,0.4,-181525
0.5,0,1.3,0.5,-181525
0.5,0,1.3,0.6,-181525
0.5,0,1.3,0.7,-181525
0.5,0,1.3,0.8,-181525
0.5,0,1.5,0.2,-198917
0.5,0,1.5,0.3,-198917
0.5,0,1.5,0.4,-198917
0.5,0,1.5,0.5,-198917
0.5,0,1.5,0.6,-198917
0.5,0,1.5,0.7,-198917
0.5,0,1.5,0.8,-198917
0.5,0,1.9,0.2,-233658
0.5,0,1.9,0.3,-233658
0.5,0,1.9,0.4,-233658
0.5,0,1.9,0.5,-233658
0.5,0,1.9,0.6,-233658
0.5,0,1.9,0.7,-233658
0.5,0,1.9,0.8,-233658
0.5,0,2.5,0.2,-285809
0.5,0,2.5,0.3,-285809
0.5,0,2.5,0.4,-285809
0.5,0,2.5,0.5,-285809
0.5,0,2.5,0.6,-285809
0.5,0,2.5,0.7,-285809
0.5,0,2.5,0.8,-285809
0.5,0.1,0.9,0.2,-225195
0.5,0.1,0.9,0.3,-225195
0.5,0.1,0.9,0.4,-225195
0.5,0.1,0.9,0.5,-225195
0.5,0.1,0.9,0.6,-225195
0.5,0.1,0.9,0.7,-225195
0.5,0.1,0.9,0.8,-225195
0.5,0.1,1.1,0.2,-164836
0.5,0.1,1.1,0.3,-164836
0.5,0.1,1.1,0.4,-164836
0.5,0.1,1.1,0.5,-164836
0.5,0.1,1.1,0.6,-164836
0.5,0.1,1.1,0.7,-164836
0.5,0.1,1.1,0.8,-164836
0.5,0.1,1.3,0.2,-182201
0.5,0.1,1.3,0.3,-182201
0.5,0.1,1.3,0.4,-182201
0.5,0.1,1.3,0.5,-182201
0.5,0.1,1.3,0.6,-182201
0.5,0.1,1.3,0.7,-182201
0.5,0.1,1.3,0.8,-182201
0.5,0.1,1.5,0.2,-199593
0.5,0.1,1.5,0.3,-199593
0.5,0.1,1.5,0.4,-199593
0.5,0.1,1.5,0.5,-199593
0.5,0.1,1.5,0.6,-199593
0.5,0.1,1.5,0.7,-199593
0.5,0.1,1.5,0.8,-199593
0.5,0.1,1.9,0.2,-234334
0.5,0.1,1.9,0.3,-234334
0.5,0.1,1.9,0.4,-234334
0.5,0.1,1.9,0.5,-234334
0.5,0.1,1.9,0.6,-234334
0.5,0.1,1.9,0.7,-234334
0.5,0.1,1.9,0.8,-234334
