croissants_long,croissants_short,pnl
30,190,186192
30,220,176254
30,250,157054
30,280,157054
30,310,157054
30,340,157054
30,370,157054
60,190,171744
60,220,161966
60,250,157054
60,280,157054
60,310,157054
60,340,157054
60,370,157054
90,190,161872
90,220,150284
90,250,157054
90,280,157054
90,310,157054
90,340,157054
90,370,157054
120,190,156598
120,220,154366
120,250,157054
120,280,157054
120,310,157054
120,340,157054
120,370,157054
150,190,145636
150,220,153896
150,250,157054
150,280,157054
150,310,157054
150,340,157054
150,370,157054
180,190,141880
180,220,155090
180,250,157054
180,280,157054
180,310,157054
180,340,157054
180,370,157054
