djembes_long,djembes_short,pnl
30,190,156074
30,220,153028
30,250,157054
30,280,157054
30,310,157054
30,340,157054
30,370,157054
60,190,153172
60,220,150330
60,250,157054
60,280,157054
60,310,157054
60,340,157054
60,370,157054
90,190,154448
90,220,155034
90,250,157054
90,280,157054
90,310,157054
90,340,157054
90,370,157054
120,190,153762
120,220,158670
120,250,157054
120,280,157054
120,310,157054
120,340,157054
120,370,157054
150,190,159556
150,220,160174
150,250,157054
150,280,157054
150,310,157054
150,340,157054
150,370,157054
180,190,157234
180,220,158850
180,250,157054
180,280,157054
180,310,157054
180,340,157054
180,370,157054
