jams_long,jams_short,pnl
30,190,175726
30,220,166402
30,250,157054
30,280,157054
30,310,157054
30,340,157054
30,370,157054
60,190,157638
60,220,170140
60,250,157054
60,280,157054
60,310,157054
60,340,157054
60,370,157054
90,190,142872
90,220,162568
90,250,157054
90,280,157054
90,310,157054
90,340,157054
90,370,157054
120,190,135380
120,220,156190
120,250,157054
120,280,157054
120,310,157054
120,340,157054
120,370,157054
150,190,139432
150,220,145192
150,250,157054
150,280,157054
150,310,157054
150,340,157054
150,370,157054
180,190,114410
180,220,141734
180,250,157054
180,280,157054
180,310,157054
180,340,157054
180,370,157054
